"id","status","job_id","title"
"1697","Done","MjMxYWMxOTAtNmUzNi00NGEyLTgyMmQtOGZkYTQ0ZjhiYzNhIDI2MQ","Er du opptatt av bærekraft og ønsker å lede spennende prosjekter?"
"1698","Done","MTE5NTYtMjIwODA1MTc0NDkyNzIwMS1TIDE","NTT DATA Deutschland SE: Solution Architekt (w/m/x) Salesforce (Architekt/in)"
"1699","Done","MTkxTERRViA5","Manager d'ingénieurs en développement logiciel (H/F)"
"1700","Done","NTY0NzczNSA5","Concepteur (H/F)"
"1701","Done","MTUwMDYtazQwMTgwLjM4MTgtUyAx","Software Architect  (m/w/d) Embedded Systems Aerospace | Defence (Software-Architect)"
"1702","Done","MTUwMDYtazQwMTgwLjM4MTktUyAx","Systems Architect (m/w/d) – Complex Systems Aerospace & Defence (Software-Architect)"
"1703","Done","MTUwMDYtazQwMTgwLjM4MjAtUyAx","Systems Architect (m/w/d) – Complex Systems Aerospace & Defence (Software-Architect)"
"1704","Done","MTUwMDYtazQwMTgwLjM4MTYtUyAx","Softwarearchitekt (m/w/d) Defence (Software-Architect)"
"1705","Done","MTUwMDYtazQwMTgwLjM4MTMtUyAx","Software Development Engineer (m/w/d) – Aerospace (Software-Architect)"
"1706","Done","MTUwMDYtazQwMTgwLjM4MTctUyAx","Software Architect  (m/w/d) Embedded Systems Aerospace | Defence (Software-Architect)"
"1707","Done","MTUwMDYtazQwMTgwLjM4MTEtUyAx","Entwicklungsingenieur (m/w/d) Software Aerospace | Defence (Software-Architect)"
"1708","Done","MTUwMDYtazQwMTgwLjM4MDktUyAx","Embedded Softwareentwickler (m/w/d) – Aerospace |  Defence | Automotive (Software-Architect)"
"1709","Done","MTIyNjUtMjk1ODA5X0pCNDczODUzNC1TIDE","Software Architect Automotive (m/w/d) (Software-Architect)"
"1710","Done","MTIyNjUtMjg4ODA0X0pCNDczODQ0NS1TIDE","Cloud Engineer (m/w/d) (Cloud-Architect)"
"1711","Done","MTI4MTEtMTczNzE5My1TIDE","Principal Engineer (m/w/d),Stuttgart,Mobiles Arbeiten in Deutschland (Software-Architect)"
"1712","Done","MTExMTktNDIwMTQ2MDA3NC1TIDE","IT-Mitarbeiter (m/w/d) - Azure Cloud / Personalvermittlung (Cloud-Architect)"
"1713","Done","MTQwODctNVlKOTkwNUJWTDc1NUgyUC1TIDE","Software Developer im Bereich I4.0 (m/w/d) (Software-Architect)"
"1714","Done","MTIzMzYtYTI1Zjk5M2owNDE3MTk5LVMgMQ","Cloud Developer / Senior Machine Learning Engineer (d/m/w) (Cloud-Architect)"
"1715","Done","MTIzMzYtYTI1Zjg2OGowNDE3MTU2LVMgMQ","Solution Architect Mobile (m/w/d) (Software-Architect)"
"1716","Done","NTI4NzIzNiA5","Concepteur / Conceptrice logiciel informatique h/f"
"1717","Done","NTUzMzg2OCA5","Architecte multimédia h/f"
"1718","Done","NTI4NzAxMyA5","Architecte multimédia h/f"
"1719","Done","MjkyNzM5MyA5","Architecte multimédia h/f"
"1720","Done","NTI4NzAxNSA5","Architecte multimédia h/f"
"1721","Done","MTQwMTEtNDMzMTYxNzItNDE1LVMgMQ","(Experienced) Software Engineer (m/f/d) (Software-Architect)"
"1722","Done","MTU5ODYtNzQ0MDAwMDUxNDQ5MTk2LTEtUyAx","Enterprise Architect ServiceNow (f/m/div.) (Salary: ~117.000 EUR p.a.*) (Software-Architect)"
"1723","Done","MTE5NTYtMjc0MDE3MTc0Mzk3NjgwMS1TIDE","SoftwareOne Deutschland GmbH: Solutions Architect (gn) AWS (Cloud-Architect)"
"1724","Done","MTE5NTYtMjc0NTkwMTc0Mzk3NjgwMS1TIDE","NTT DATA Deutschland SE: GenAI Automation Architect (w/m/x) (Cloud-Architect)"
"1725","Done","MTIzMzYtYTI1ZjUzOWowNDEwMTE3LVMgMQ","Lead Expert Military IT - Solution Design (m/w/d) (Software-Architect)"
"1726","Done","MTY2MDQtSlIwMDAwMDEyNDQwLTAwNS1TIDE","Enterprise Architekt:in (m/w/d) (Cloud-Architect)"
"1727","Done","MTI4MTEtMTUxNDYwMC1TIDE","Microsoft 365 Cloud Architect (m/w/d), Hanau (Cloud-Architect)"
"1728","Done","NTYzMDIxMCA5","Gestionnaire de la sécurité des données, des réseaux et des systèmes Alternance/Apprentissage (H/F)"
"1729","Done","NTYzMDIzNCA5","Gestionnaire de la sécurité des données, des réseaux et des systèmes Alternance/Apprentissage (H/F)"
"1730","Done","NTYyNzY2NSA5","Administrateur systèmes et réseaux (H/F)"
"1731","Done","NTYyODY3NiA5","Alternance Chargé de développement commercial (H/F)"
"1732","Done","NTYyOTgxNiA5","Technicien.ne réseaux & cybersécurité Alternance/Apprentissage (H/F)"
"1733","Done","NTYyNjI2NCA5","Assistant(e) de gestion & développement en alternance Alternance/Apprentissage (H/F)"
"1734","Done","NTEzNzQ4NCA5","Ingénieur développement logiciel JAVA - Défense F/H - Rungis (H/F)"
"1735","Done","NTYzMTE3MyA5","INGENIEUR DEVELOPPEMENT EMBARQUE LOGICIEL APPLICATIF (H/F)"
"1736","Done","NTUzMTI2MiA5","Ingénieur Senior développeur de logiciels C# et/ou LabVIEW / 5 ans d'expérience  H/F - Porte-de-Savoie,"
"1737","Done","NTI3MjY2OCA5","Ingénieur en développement SYMFONY H/F"
"1738","Done","NTYzMzYyNyA5","Ingénieur d'Application H/F"
"1739","Done","ODU5NzYgMTE","Business Architect (m/f)"
"1740","Done","NTYyOTQxMiA5","Géomètre en Détection de Réseaux sur CHAMBERY (H/F)"
"1741","Done","NDg5NDgzNyA5","Concepteur Logiciel F/H (H/F)"
